No.,Zona,Kode Kabupaten / Kota,Kabupaten / Kota,Jenis Tes,POI,Kecamatan,Desa,Lokasi Pengukuran,Event,Kecamatan > 1 (Ya/Tidak),Tanggal Pengukuran,Operator,FTP DL Attempts,FTP DL Success Attempts,FTP DL Success (%),Average FTP DL (Mbps),Median FTP DL (Mbps),Max FTP DL (Mbps),Min FTP DL (Mbps),Rank Average DL Speed (Mbps),Rank Median DL Speed (Mbps),FTP UL Attempts,FTP UL Success Attempts,FTP UL Success (%),Average FTP UL Speed (Mbps),Median FTP UL Speed (Mbps),Max FTP UL Speed (Mbps),Min FTP UL Speed (Mbps),Rank Average UL Speed (Mbps),Rank Median UL Speed (Mbps),Browsing Attemps,Browsing Success Attemps,Browsing Success (%),Average Browsing Speed (Mbps),Max Browsing Speed (Mbps),Min Browsing Speed (Mbps),Rank Browsing Speed (Mbps),Capacity DL Attempts,Capacity DL Success Attempts, Capacity Test DL Success (%),Average Capacity Test DL (Mbps),Median Capacity Test DL  (Mbps),Max Capacity Test DL  (Mbps),Min Capacity Test DL  (Mbps),Rank Average DL (Mbps),Rank Median DL (Mbps),Capacity UL Attempts,Capacity UL Success Attempts, Capacity Test UL Success (%),Average Capacity Test UL (Mbps),Median Capacity Test UL  (Mbps),Max Capacity Test UL  (Mbps),Min Capacity Test UL  (Mbps),Rank Average UL (Mbps),Rank Median UL (Mbps),Speed Test Attemps,Speed Test Success Attemps,Speed Test DL Success (%),Average Speed Test DL Speed (Mbps),Median Speed Test DL (Mbps),Max Speed Test DL (Mbps),Min Speed Test DL (Mbps),Speed Test UL Success (%),Average Speed Test UL Speed (Mbps),Median Speed Test UL (Mbps),Max Speed Test UL (Mbps),Min Speed Test UL (Mbps),Rank Average DL Speed (Mbps)2,Rank Average UL Speed (Mbps)3,Rank Median DL Speed (Mbps)4,Rank Median UL Speed (Mbps)5,Ping Attemps,Ping Success Attemps,Ping Success (%),Packet Loss (%),Average RTT Latency (ms),Persentase RTT Latency <= 250ms,Video Attempts,Video Success Attempts,Youtube SR (%),Average TTFP (s),Average TTFP > 10 Second (%),Average Visual Quality,Freezing (%),Average Jerkiness,Quality 144p (%),Quality 240p (%),Quality 360p (%),Quality 480p (%),Quality 720p (%),Quality 1080p / HD (%),Quality 1440p / 2K (%),WA Call Attempts,WA Call Blocked,WA Call Dropped,WA Call Success (%),WA Call Blocked (%),WA Call Dropped (%),WA Call Average MOS,WA Call MOS >= 3 (%),WA Call MOS <= 3 (%),WA Call Average CST,WA Call CST < 13 Sec (%),WA Message Send Attemp,WA Message Send Failed,WA Message Send Success (%),WA Message Average Duration Send (s),SMS Send (Onnet),SMS Receive < 1 Minutes (Onnet),SMS Receive< 1 Minutes (Onnet) (%),SMS Send (Offnet),SMS Receive < 1 Minutes (Offnet),SMS Receive (%) < 1 Minutes (Offnet),Call Attempts (Onnet),Blocked Call (Onnet),Dropped Call (Onnet),Success Call (%) (Onnet),Blocked Call (%) (Onnet),Dropped Call (%) (Onnet),MOS Attempts (Onnet),MOS < 3 Attempts (Onnet),Average MOS (Onnet),MOS >= 3 (Onnet) (%) ,MOS < 3 (Onnet) (%),CST Attempts (Onnet),CST Attempts < 13 Sec (Onnet),Average CST (Onnet),CST < 13 Detik (%) (Onnet),Call Attempts (Offnet),Blocked Call (Offnet),Dropped Call (Offnet),Success Call (%) (Offnet),Blocked Call (%) (Offnet),Dropped Call (%) (Offnet),MOS Attempts (Offnet),MOS < 3 Attempts (Offnet),Average MOS (Offnet),MOS >= 3 (Onnet) (%) 6,MOS < 3 (Onnet) (%)7,CST Attempts (Offnet),CST Attempts < 13 Sec (Offnet),Average CST (Offnet),CST < 13 Detik (%) (Offnet),Call Attempts,Blocked Call,Dropped Call,Success Call (%),Blocked Call (%),Dropped Call (%),MOS Attempts,MOS < 3 Attempts,Average MOS,MOS >= 3 (Onnet) (%) 8,MOS < 3 (Onnet) (%)9,CST Attempts,CST Attempts < 13 Sec,Average CST,CST < 13 Detik (%),Average SS-RSRP (Signal Strenght 5G),Category (Signal Strenght 5G),Average SS-SINR (Signal Qualty 5G),Category (Signal Qualty 5G),Average RSRP (Signal Strenght 4G),Category (Signal Strenght 4G),Average RSRQ (Signal Qualty 4G),Category (Signal Qualty 4G),Average SINR (Signal Qualty 4G),Category (Signal Qualty 4G)10,Average RSCP (Signal Strenght 3G),Category (Signal Strenght 3G),Average ECIO (Signal Quality 3G),Category (Signal Quality 3G),Average RX Level (Signal Strenght 2G),Category (Signal Strenght 2G),Average RX Qual (Signal Quality 2G),Category (Signal Quality 2G),Bad SS-RSRP Sample (5G),Total SS-RSRP Sample (5G),Bad SS-RSRP (%) (5G),Bad SS-SINR Sample (5G),Total SS-SINR Sample (5G),Bad SS-SINR (%) (5G),Bad RSRP Sample (4G),Total RSRP Sample (4G),Bad RSRP (%) (4G),Bad RSRQ Sample (4G),Total RSRQ Sample (4G),Bad RSRQ (%) (4G),Bad SINR Sample (4G),Total SINR Sample (4G),Bad SINR (%) (4G),Bad RSCP Sample (3G),Total RSCP Sample (3G),Bad RSCP (%) (3G),Bad EcIo Sample (3G),Total EcIo Sample (3G),Bad EcIo (%) (3G),Bad RxLev Sample (2G),Total RxLev Sample (2G),Bad RxLev (%) (2G),Bad RxQual Sample (2G),Total RxQual Sample (2G),Bad RxQual (%) (2G),No. data,Average FTP DL (Mbps) (2G),Average FTP UL (Mbps) (2G),Average Capacity DL (Mbps) (2G),Average Capacity UL (Mbps) (2G),Average Speed Test DL (Mbps) (2G),Average Speed Test UL (Mbps) (2G),"Average PING Latency/RTT
(ms) (2G)",Average FTP DL (Mbps) (3G),Average FTP UL (Mbps) (3G),Average Capacity DL (Mbps) (3G),Average Capacity UL (Mbps) (3G),Average Speed Test DL (Mbps) (3G),Average Speed Test UL (Mbps) (3G),"Average PING Latency/RTT
(ms) (3G)",Average FTP DL (Mbps) (4G),Average FTP UL (Mbps) (4G),Average Capacity DL (Mbps) (4G),Average Capacity UL (Mbps) (4G),Average Speed Test DL (Mbps) (4G),Average Speed Test UL (Mbps) (4G),"Average PING Latency/RTT
(ms) (4G)",Average FTP DL (Mbps) (5G),Average FTP UL (Mbps) (5G),Average Capacity DL (Mbps) (5G),Average Capacity UL (Mbps)(5G),Average Speed Test DL (Mbps) (5G),Average Speed Test UL (Mbps) (5G),"Average PING Latency/RTT
(ms) (5G)",Lat,Long
1,,,,,-,-,-,,,-,20-Oct-25,,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,21,21,100,7.73,10.14,3.85,1,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,21,21,100,105.31,103,179,8.9,100,34.22,37.2,43.8,7.8,1,1,1,1,22,22,100,0,85.55,100,22,20,90.91,1.39,0,4.05,0,0.1,0,0,0,0,100,0,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-85.25,Baik Sekali,-9.03,Baik Sekali,8.71,Cukup,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,90,5508,1.63,46,5508,0.84,2581,5449,47.37,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,100.81,34.28,85.55,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0.531935,123.059898
2,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo 1012 Kab. Konawe Selatan,-,-,ST Bandara Haluoleo,Nataru,-,19-Dec-25,Indosat,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,57,55,96.49,17.1,17.1,17.1,17.1,96.49,9.72,9.72,9.72,9.72,3,3,3,3,56,56,100,0,73.11,100,56,56,100,1.13,0,4.22,0,0.34,0,0,0,0,0,98.21,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-83.25,Baik Sekali,-6.02,Baik Sekali,20.36,Baik Sekali,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,9651,0,0,9651,0,0,9651,0,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16.5,9.38,73.11,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
3,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo 1012 Kab. Konawe Selatan,-,-,ST Bandara Haluoleo,Nataru,-,19-Dec-25,Smartfren,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
4,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo 1012 Kab. Konawe Selatan,-,-,ST Bandara Haluoleo,Nataru,-,19-Dec-25,Telkomsel,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,61,60,98.36,66.5,63.1,85.2,57.5,98.36,51,50.1,61.9,38.1,2,2,2,2,60,60,100,0,55.52,100,60,60,100,1,0,4.22,0,0.34,0,0,0,0,0,100,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-79.04,Baik Sekali,-7.06,Baik Sekali,22.54,Baik Sekali,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,9960,0,0,9960,0,0,8230,0,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,65.41,50.16,55.52,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
5,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo 1012 Kab. Konawe Selatan,-,-,ST Bandara Haluoleo,Nataru,-,19-Dec-25,XL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,56,48,85.71,73.17,72.9,79.7,69,85.71,51.6,53.15,66.1,38.9,1,1,1,1,55,54,98.18,1.82,97.5,98.18,55,54,98.18,1.07,0,4.21,0,0.34,0,0,0,0,0,100,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-82.82,Baik Sekali,-5.11,Baik Sekali,25.83,Baik Sekali,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,9579,0,0,9579,0,0,9579,0,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,62.72,44.23,95.73,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
6,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo,-,-,ST Bandara Haluoleo 1214 Kab. Konawe Selatan,Nataru,-,19-Dec-25,Indosat,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,73,73,100,17.1,17.1,17.1,17.1,100,9.72,9.72,9.72,9.72,3,3,3,3,72,72,100,0,73.18,100,72,72,100,1.13,0,4.21,0.91,1.22,0,0,0,0,0,100,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-85.84,Baik Sekali,-6.7,Baik Sekali,21.51,Baik Sekali,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,11856,0,0,11856,0,0,11856,0,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,17.1,9.72,73.18,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
7,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo,-,-,ST Bandara Haluoleo 1214 Kab. Konawe Selatan,Nataru,-,19-Dec-25,Smartfren,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
8,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo,-,-,ST Bandara Haluoleo 1214 Kab. Konawe Selatan,Nataru,-,19-Dec-25,Telkomsel,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70,65,92.86,62.2,62.2,62.2,62.2,92.86,52.4,52.4,52.4,52.4,2,1,2,1,69,69,100,0,56.46,100,69,69,100,1.09,0,4.26,0,0.31,0,0,0,0,0,100,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-75.78,Baik Sekali,-5.03,Baik Sekali,29.35,Baik Sekali,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,12346,0,0,12346,0,0,11159,0,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,57.76,48.66,56.46,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
9,Sulawesi Tenggara,7405,Konawe Selatan,ST,ST Bandara Haluoleo,-,-,ST Bandara Haluoleo 1214 Kab. Konawe Selatan,Nataru,-,19-Dec-25,XL,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,74,72,97.3,72.1,72.1,72.1,72.1,97.3,43,43,43,43,1,2,1,2,74,73,98.65,1.35,92.22,98.65,74,73,98.65,1.05,0,4.23,0,0.34,0,0,0,0,0,100,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-85.88,Baik Sekali,-5.09,Baik Sekali,30.11,Baik Sekali,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,0,11820,0,0,11820,0,0,11820,0,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,70.15,41.84,90.97,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.076922,122.417362
10,Sulawesi Tenggara,7405,Konawe Selatan,DT,DT 1416 Kab. Konawe Selatan,-,-,DT Kab. Konawe Selatan,Nataru,-,19-Dec-25,Indosat,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,37,36,97.3,17.1,17.1,17.1,17.1,97.3,9.72,9.72,9.72,9.72,3,3,3,3,37,37,100,0,107.89,97.3,37,34,91.89,2.55,2.7,4.1,0.6,1.25,0,0,0,5.88,11.76,82.35,0,0,0,0,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,No Data,0,0,No Data,0,0,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,0,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,0,0,No Data,No Data,No Data,No Data,No Data,No Data,-98.09,Baik,-12.57,Cukup,10.23,Cukup,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,0,0,No Data,0,0,No Data,2314,6591,35.11,1300,6591,19.72,2860,6579,43.47,0,0,No Data,0,0,No Data,0,0,No Data,0,0,No Data,,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,16.64,9.46,107.89,No Data,No Data,No Data,No Data,No Data,No Data,No Data,-4.102611,122.251213
